Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
120033 MANCIO LIMA,-,-,-,-,-,1,1,-,1
120034 MANOEL URBANO,2,6,5,4,4,2,3,1,8
120035 MARECHAL THAUMATURGO,4,8,5,4,2,5,2,1,-
120038 PLACIDO DE CASTRO,-,-,1,-,-,2,-,1,-
120039 PORTO WALTER,2,-,1,-,-,1,1,2,1
120040 RIO BRANCO,193,209,199,165,156,177,147,175,189
120042 RODRIGUES ALVES,2,2,1,2,1,-,3,-,2
120043 SANTA ROSA DO PURUS,7,2,3,-,4,3,1,2,5
120045 SENADOR GUIOMARD,-,1,-,-,-,1,-,-,1
120050 SENA MADUREIRA,12,6,2,4,4,4,6,2,1
120060 TARAUACA,19,21,21,18,19,11,17,14,16
120070 XAPURI,1,-,2,2,-,-,-,1,2
120080 PORTO ACRE,-,-,-,-,1,-,-,-,-
130002 ALVARAES,1,4,2,3,3,3,2,1,3
130006 AMATURA,6,11,9,4,5,3,4,6,6
130008 ANAMA,2,-,-,1,-,1,-,1,2
130010 ANORI,4,2,1,5,3,2,2,4,2
130014 APUI,4,4,4,2,2,2,5,3,5
130020 ATALAIA DO NORTE,11,7,11,3,7,6,6,2,6
130030 AUTAZES,5,5,4,5,8,5,4,11,7
130040 BARCELOS,30,6,26,31,32,22,11,1,6
130050 BARREIRINHA,7,4,4,8,4,3,4,5,10
130060 BENJAMIN CONSTANT,24,10,21,3,13,8,8,10,9
130063 BERURI,2,2,4,-,2,1,1,2,8
130068 BOA VISTA DO RAMOS,2,1,1,3,3,-,2,3,4
130070 BOCA DO ACRE,2,1,4,6,4,9,4,5,5
130080 BORBA,7,9,3,6,3,5,7,3,10
130083 CAAPIRANGA,-,1,1,-,-,-,-,4,2
130090 CANUTAMA,2,3,4,5,5,5,6,3,-
130100 CARAUARI,16,17,8,10,9,9,5,6,16
130110 CAREIRO,-,-,4,1,1,4,-,1,3
130115 CAREIRO DA VARZEA,-,-,-,-,1,2,-,-,1
130120 COARI,20,23,16,15,27,13,23,16,12
130130 CODAJAS,5,2,3,4,3,-,7,3,3
130140 EIRUNEPE,28,24,26,35,30,28,23,13,15
130150 ENVIRA,5,7,10,10,7,13,11,4,11
130160 FONTE BOA,10,6,12,7,9,5,7,7,5
130165 GUAJARA,2,1,-,1,-,3,1,1,-
130170 HUMAITA,7,5,3,6,4,5,2,9,7
130180 IPIXUNA,6,13,9,7,8,16,6,5,3
130185 IRANDUBA,4,1,3,5,-,1,1,1,2
130190 ITACOATIARA,14,14,19,20,21,8,34,22,18
130195 ITAMARATI,1,3,2,4,2,3,7,5,3
130200 ITAPIRANGA,2,-,1,3,-,-,2,-,1
130210 JAPURA,1,1,1,-,2,2,4,-,1
130220 JURUA,1,2,2,4,3,3,2,4,6
130230 JUTAI,9,7,12,11,12,4,14,11,13
130240 LABREA,12,14,10,13,9,16,9,13,6
130250 MANACAPURU,10,8,19,11,7,6,12,10,18
130255 MANAQUIRI,1,3,3,-,1,-,2,-,1
130260 MANAUS,794,741,686,667,714,712,684,623,664
130270 MANICORE,13,9,14,12,21,18,20,9,9
130280 MARAA,4,3,3,1,5,2,3,6,7
130290 MAUES,10,16,13,13,15,27,18,13,19
130300 NHAMUNDA,1,7,4,3,-,4,1,1,1
130310 NOVA OLINDA DO NORTE,9,10,7,13,11,12,11,10,4
130320 NOVO AIRAO,-,2,2,-,1,-,-,-,1
130330 NOVO ARIPUANA,4,3,6,1,4,4,9,3,6
130340 PARINTINS,47,57,48,52,62,66,59,29,35
130350 PAUINI,3,2,4,5,5,2,9,3,6
130353 PRESIDENTE FIGUEIREDO,4,4,1,1,-,1,1,1,1
130356 RIO PRETO DA EVA,-,3,1,2,-,1,2,-,1
130360 SANTA ISABEL DO RIO NEGRO,8,6,3,7,8,7,4,7,6
130370 SANTO ANTONIO DO ICA,12,14,16,13,10,7,12,7,19
130380 SAO GABRIEL DA CACHOEIRA,35,32,35,36,32,28,25,21,32
130390 SAO PAULO DE OLIVENCA,28,29,22,16,16,26,22,23,18
130395 SAO SEBASTIAO DO UATUMA,-,2,-,1,1,1,-,-,1
130400 SILVES,2,2,1,1,-,-,1,1,-
130406 TABATINGA,42,43,41,50,41,35,52,33,31
130410 TAPAUA,8,1,7,5,11,8,5,1,6
130420 TEFE,38,32,35,43,42,46,28,25,22
130423 TONANTINS,3,4,4,2,8,5,3,6,4
130426 UARINI,1,2,1,2,4,-,4,1,11
130430 URUCARA,8,5,4,2,1,8,5,2,1
130440 URUCURITUBA,1,1,-,1,2,-,1,-,3
140002 AMAJARI,8,7,4,9,4,8,10,10,11
140005 ALTO ALEGRE,39,22,23,21,10,20,26,17,28
140010 BOA VISTA,136,164,131,147,152,201,193,190,182
140015 BONFIM,-,-,-,2,6,-,1,4,3
140017 CANTA,-,1,3,-,2,1,2,-,1
140020 CARACARAI,16,14,16,13,11,20,10,19,8
140023 CAROEBE,-,-,1,-,1,-,-,-,1
140028 IRACEMA,1,4,1,-,1,4,-,-,4
140030 MUCAJAI,3,1,3,3,2,-,1,3,5
140040 NORMANDIA,2,1,-,3,3,-,1,4,1
140045 PACARAIMA,-,1,1,1,5,-,9,5,2
140047 RORAINOPOLIS,1,2,1,5,2,5,6,5,2
140050 SAO JOAO DA BALIZA,-,1,2,-,-,1,-,-,-
140070 UIRAMUTA,-,3,3,4,13,2,3,7,16
150010 ABAETETUBA,17,11,10,5,17,18,12,15,18
150013 ABEL FIGUEIREDO,1,-,1,2,1,3,-,-,1
150020 ACARA,2,2,3,-,5,4,1,2,5
150030 AFUA,2,1,2,4,-,4,1,3,3
150034 AGUA AZUL DO NORTE,3,1,1,3,-,1,2,-,2
150040 ALENQUER,29,18,16,16,24,21,28,36,24
150050 ALMEIRIM,12,5,9,6,9,5,14,10,5
150060 ALTAMIRA,70,91,66,72,53,61,64,41,51
150070 ANAJAS,9,5,4,3,6,4,4,2,7
150080 ANANINDEUA,55,54,68,56,50,47,33,37,54
150085 ANAPU,4,4,3,4,6,2,3,5,10
150090 AUGUSTO CORREA,6,6,1,-,4,3,3,2,4
150095 AURORA DO PARA,1,2,5,2,-,2,-,3,1
150100 AVEIRO,4,2,1,1,-,1,2,-,-
150110 BAGRE,1,1,1,1,1,2,5,3,5
150120 BAIAO,4,7,7,6,4,4,5,3,2
150125 BANNACH,1,-,-,-,-,-,-,-,1
150130 BARCARENA,11,5,9,4,1,13,44,43,59
150140 BELEM,884,924,803,801,780,783,757,694,712
150145 BELTERRA,-,-,1,-,-,1,2,-,1
150150 BENEVIDES,2,-,2,1,1,-,1,1,2
150157 BOM JESUS DO TOCANTINS,-,1,1,1,-,-,1,-,1
150160 BONITO,-,-,1,-,-,-,-,-,-
150170 BRAGANCA,75,60,63,65,63,68,39,48,35
150172 BRASIL NOVO,-,1,-,1,1,2,1,1,-
150178 BREU BRANCO,3,-,1,1,3,1,1,3,2
150180 BREVES,68,66,60,62,57,57,59,50,53
150190 BUJARU,2,4,-,-,-,3,3,1,2
150195 CACHOEIRA DO PIRIA,-,2,-,1,-,-,-,-,-
150200 CACHOEIRA DO ARARI,5,1,2,3,-,6,7,1,3
150210 CAMETA,38,32,51,47,32,36,42,37,29
150215 CANAA DOS CARAJAS,14,11,12,14,9,10,7,7,9
150220 CAPANEMA,14,12,15,15,20,8,11,13,2
150230 CAPITAO POCO,4,3,4,3,3,2,3,3,7
150240 CASTANHAL,38,35,34,37,39,50,40,52,35
150250 CHAVES,-,-,1,1,1,1,1,1,2
150260 COLARES,-,1,1,-,1,1,-,-,-
150270 CONCEICAO DO ARAGUAIA,4,6,7,12,8,27,15,15,9
150275 CONCORDIA DO PARA,2,3,6,2,1,1,1,-,-
150276 CUMARU DO NORTE,1,2,1,1,1,-,1,5,2
150277 CURIONOPOLIS,4,3,2,2,1,-,-,3,4
150280 CURRALINHO,3,1,4,7,6,4,9,12,5
150285 CURUA,-,-,1,1,-,2,1,1,-
150290 CURUCA,1,1,2,-,1,2,1,1,2
150293 DOM ELISEU,3,5,7,9,3,-,2,3,1
150295 ELDORADO DOS CARAJAS,6,2,1,3,3,3,5,1,1
150300 FARO,-,2,2,-,-,1,1,2,1
150304 FLORESTA DO ARAGUAIA,1,1,-,1,3,2,1,1,1
150307 GARRAFAO DO NORTE,-,3,5,-,-,2,1,2,-
150309 GOIANESIA DO PARA,1,-,2,4,1,1,3,2,1
150310 GURUPA,4,6,3,4,3,5,6,6,3
150320 IGARAPE-ACU,2,1,-,2,-,-,2,5,2
150330 IGARAPE-MIRI,9,5,-,4,3,3,5,7,7
150340 INHANGAPI,1,-,-,-,-,-,-,-,-
150345 IPIXUNA DO PARA,5,3,3,6,3,3,4,2,-
150350 IRITUIA,1,1,1,-,-,1,-,2,1
150360 ITAITUBA,18,34,28,38,48,42,36,36,55
150370 ITUPIRANGA,5,8,8,5,3,3,7,6,3
150375 JACAREACANGA,13,7,8,10,15,9,10,10,19
150380 JACUNDA,5,6,5,5,1,1,4,1,-
150390 JURUTI,11,19,15,19,18,18,26,15,13
150400 LIMOEIRO DO AJURU,9,6,2,-,1,1,-,2,2
150405 MAE DO RIO,4,2,6,3,10,3,4,3,1
150410 MAGALHAES BARATA,1,-,1,-,-,-,-,-,-
150420 MARABA,106,75,94,120,115,107,94,78,68
150430 MARACANA,-,2,2,-,-,2,2,-,-
150440 MARAPANIM,2,1,1,-,-,2,2,-,1
150442 MARITUBA,15,17,6,8,11,4,7,11,14
150445 MEDICILANDIA,1,-,-,4,-,-,3,2,3
150450 MELGACO,3,3,4,1,4,4,1,5,8
150460 MOCAJUBA,10,3,9,5,4,7,4,2,4
150470 MOJU,5,5,2,3,3,1,9,5,3
150475 MOJUI DOS CAMPOS,-,-,1,-,-,1,-,-,-
150480 MONTE ALEGRE,21,14,12,8,17,11,14,15,14
150490 MUANA,14,8,7,14,6,10,8,15,7
150495 NOVA ESPERANCA DO PIRIA,3,1,1,2,1,2,1,2,1
150497 NOVA IPIXUNA,1,1,-,1,-,-,-,1,1
150500 NOVA TIMBOTEUA,-,-,-,-,-,-,-,1,-
150503 NOVO PROGRESSO,10,9,7,8,10,17,7,13,11
150506 NOVO REPARTIMENTO,3,5,6,-,3,7,2,7,8
150510 OBIDOS,18,21,15,15,11,19,14,15,15
150520 OEIRAS DO PARA,8,4,7,9,4,9,8,7,12
150530 ORIXIMINA,28,16,28,30,29,17,23,17,20
150540 OUREM,1,-,1,-,1,-,1,1,1
150543 OURILANDIA DO NORTE,13,6,5,9,10,7,8,12,9
150548 PACAJA,1,3,2,2,6,3,6,5,7
150549 PALESTINA DO PARA,1,1,-,-,-,1,-,-,-
150550 PARAGOMINAS,16,20,16,13,14,20,13,13,8
150553 PARAUAPEBAS,45,43,39,38,28,35,39,35,50
150555 PAU D'ARCO,-,-,1,3,1,-,-,3,-
150560 PEIXE-BOI,1,-,-,-,-,2,-,-,-
150563 PICARRA,-,1,-,1,2,-,1,3,1
150565 PLACAS,1,1,2,-,-,1,-,1,2
150570 PONTA DE PEDRAS,-,1,2,2,3,1,-,1,-
150580 PORTEL,12,10,25,14,10,15,14,10,27
150590 PORTO DE MOZ,8,7,2,7,7,6,14,5,13
150600 PRAINHA,2,7,5,8,4,10,3,11,9
150610 PRIMAVERA,-,1,-,-,-,1,1,-,-
150611 QUATIPURU,-,-,-,-,-,-,-,1,1
150613 REDENCAO,63,58,52,60,62,53,59,47,50
150616 RIO MARIA,3,1,1,-,1,1,1,1,-
150618 RONDON DO PARA,10,4,9,4,3,7,1,6,6
150619 RUROPOLIS,3,9,-,2,3,1,4,7,3
150620 SALINOPOLIS,6,6,3,2,2,6,5,7,5
150630 SALVATERRA,11,4,4,7,5,3,3,2,5
150635 SANTA BARBARA DO PARA,-,1,-,-,-,-,-,-,-
150640 SANTA CRUZ DO ARARI,-,-,-,-,-,-,-,1,-
150650 SANTA IZABEL DO PARA,5,4,3,1,2,-,2,3,2
150655 SANTA LUZIA DO PARA,-,1,-,-,-,1,-,-,-
150658 SANTA MARIA DAS BARREIRAS,3,1,-,1,1,1,1,2,2
150660 SANTA MARIA DO PARA,2,-,1,-,-,1,1,2,4
150670 SANTANA DO ARAGUAIA,4,4,8,3,7,2,2,10,6
150680 SANTAREM,124,129,143,166,189,186,169,148,142
150690 SANTAREM NOVO,1,-,-,-,-,-,1,-,-
150700 SANTO ANTONIO DO TAUA,5,2,-,1,1,1,-,2,2
150710 SAO CAETANO DE ODIVELAS,-,-,-,-,-,-,-,1,1
150715 SAO DOMINGOS DO ARAGUAIA,1,1,1,-,-,1,-,1,-
150720 SAO DOMINGOS DO CAPIM,1,1,2,1,-,3,1,2,4
150730 SAO FELIX DO XINGU,10,8,12,13,10,18,12,14,8
150740 SAO FRANCISCO DO PARA,-,-,-,-,-,-,-,-,1
150745 SAO GERALDO DO ARAGUAIA,4,4,4,3,2,1,2,1,3
150747 SAO JOAO DE PIRABAS,-,-,-,1,-,3,1,-,1
150750 SAO JOAO DO ARAGUAIA,-,-,1,1,-,1,-,-,-
150760 SAO MIGUEL DO GUAMA,5,7,2,1,2,4,6,2,4
150770 SAO SEBASTIAO DA BOA VISTA,1,8,8,3,5,2,4,1,1
150775 SAPUCAIA,-,-,-,-,1,-,1,-,-
150780 SENADOR JOSE PORFIRIO,1,4,3,-,1,-,4,1,2
150790 SOURE,9,8,8,3,7,3,2,3,7
150795 TAILANDIA,19,20,11,14,12,16,18,18,17
150797 TERRA SANTA,-,2,1,1,2,1,1,-,2
150800 TOME-ACU,15,6,10,8,5,5,5,12,9
150803 TRACUATEUA,-,-,-,1,-,1,-,-,-
150805 TRAIRAO,2,-,-,2,-,-,1,2,-
150808 TUCUMA,10,12,9,8,9,9,12,8,10
150810 TUCURUI,66,64,69,63,72,43,64,44,49
150812 ULIANOPOLIS,2,3,1,4,2,1,4,-,4
150815 URUARA,7,8,13,10,7,6,5,8,3
150820 VIGIA,4,4,2,4,2,1,2,-,2
150830 VISEU,5,9,4,7,5,4,13,7,8
150835 VITORIA DO XINGU,1,2,-,1,4,5,-,2,5
150840 XINGUARA,5,5,4,8,3,6,6,7,7
160005 SERRA DO NAVIO,-,-,-,-,-,-,-,1,-
160010 AMAPA,-,-,-,1,-,1,1,-,-
160015 PEDRA BRANCA DO AMAPARI,-,-,-,-,2,1,-,1,1
160020 CALCOENE,5,4,1,-,-,2,-,2,1
160021 CUTIAS,-,1,-,-,3,-,1,-,2
160023 FERREIRA GOMES,-,1,2,-,-,-,1,1,-
160027 LARANJAL DO JARI,15,29,23,15,18,17,19,19,14
160030 MACAPA,270,256,232,245,270,245,263,235,271
160040 MAZAGAO,-,2,-,1,-,2,-,-,-
160050 OIAPOQUE,13,3,11,3,5,11,3,7,5
160053 PORTO GRANDE,1,1,1,-,-,-,-,2,2
160055 PRACUUBA,-,-,-,-,-,-,1,-,-
160060 SANTANA,19,21,21,28,15,25,17,11,14
160070 TARTARUGALZINHO,1,1,-,1,1,-,-,1,2
160080 VITORIA DO JARI,-,-,-,-,2,2,-,-,1
170030 AGUIARNOPOLIS,-,-,-,1,-,-,-,-,-
170035 ALIANCA DO TOCANTINS,-,1,-,-,-,1,-,-,-
170040 ALMAS,-,-,-,1,-,-,-,-,-
170070 ALVORADA,-,-,1,2,-,-,-,-,-
170100 ANANAS,1,-,1,1,-,-,-,-,1
170110 APARECIDA DO RIO NEGRO,-,-,-,-,-,-,-,-,1
170130 ARAGOMINAS,-,-,-,-,-,-,1,-,-
170190 ARAGUACEMA,-,-,1,1,-,-,-,-,-
170200 ARAGUACU,1,1,-,-,2,-,1,-,-
170210 ARAGUAINA,101,65,67,66,74,84,67,65,89
170215 ARAGUANA,-,1,-,-,-,-,-,-,-
170220 ARAGUATINS,-,-,-,1,-,1,1,-,-
170230 ARAPOEMA,1,-,-,-,-,-,-,1,1
170240 ARRAIAS,4,4,-,-,-,4,1,1,1
170255 AUGUSTINOPOLIS,13,15,10,10,7,9,5,9,7
170290 AXIXA DO TOCANTINS,-,-,-,-,1,-,-,-,-
170305 BANDEIRANTES DO TOCANTINS,-,-,-,-,1,-,-,-,-
170307 BARRA DO OURO,-,-,-,1,-,-,-,-,1
170310 BARROLANDIA,-,-,-,-,1,-,-,-,-
170370 BREJINHO DE NAZARE,-,-,-,-,-,-,1,-,-
170384 CAMPOS LINDOS,1,1,1,-,-,-,1,1,-
170390 CASEARA,2,-,-,1,1,-,-,-,-
170510 CHAPADA DA NATIVIDADE,1,-,-,-,-,-,-,-,-
170550 COLINAS DO TOCANTINS,7,4,1,3,2,1,1,2,1
170555 COMBINADO,-,-,-,-,-,-,-,-,1
170560 CONCEICAO DO TOCANTINS,-,-,-,-,-,-,-,1,-
170600 COUTO MAGALHAES,-,-,-,-,-,-,1,-,-
170610 CRISTALANDIA,-,-,-,-,-,-,-,1,-
170650 DARCINOPOLIS,-,-,-,-,-,1,-,-,-
170700 DIANOPOLIS,3,2,3,-,2,1,2,4,3
170720 DOIS IRMAOS DO TOCANTINS,-,-,1,-,-,-,-,1,-
170740 ESPERANTINA,-,1,1,-,1,-,-,-,-
170770 FILADELFIA,2,2,-,-,-,-,-,-,-
170820 FORMOSO DO ARAGUAIA,-,-,2,2,-,2,-,1,-
170825 FORTALEZA DO TABOCAO,-,-,-,-,1,-,-,-,1
170900 GOIATINS,-,3,2,1,2,1,2,-,-
170930 GUARAI,1,7,4,1,1,-,2,1,3
170950 GURUPI,21,21,15,7,10,12,12,5,10
171050 ITACAJA,3,2,1,1,-,-,2,2,1
171070 ITAGUATINS,-,-,1,-,-,-,-,-,-
171090 ITAPIRATINS,-,-,-,-,-,-,2,-,-
171190 LAGOA DA CONFUSAO,-,1,2,-,1,-,-,-,1
171200 LAJEADO,-,-,-,-,-,-,-,-,1
171215 LAVANDEIRA,-,-,-,-,1,-,-,-,-
171240 LIZARDA,-,-,-,-,-,1,-,-,-
171270 MATEIROS,-,-,-,-,-,1,-,-,-
171280 MAURILANDIA DO TOCANTINS,-,1,-,-,-,-,-,-,-
171320 MIRACEMA DO TOCANTINS,1,4,2,2,2,4,2,2,2
171330 MIRANORTE,1,-,-,-,-,1,-,-,-
171360 MONTE DO CARMO,-,-,-,2,-,-,-,-,-
171395 MURICILANDIA,-,-,1,-,-,-,-,-,1
171420 NATIVIDADE,3,3,1,1,1,-,-,-,1
171430 NAZARE,1,-,-,-,-,-,-,-,-
171488 NOVA OLINDA,-,-,-,1,1,-,-,-,-
171500 NOVA ROSALANDIA,-,1,-,1,-,-,-,-,-
171510 NOVO ACORDO,-,-,2,-,-,1,-,-,-
171515 NOVO ALEGRE,-,1,-,-,-,-,-,-,-
171570 PALMEIRANTE,1,-,-,-,-,-,-,-,-
171575 PALMEIROPOLIS,-,-,-,-,-,-,-,1,-
171610 PARAISO DO TOCANTINS,3,6,7,4,3,5,7,6,2
171620 PARANA,1,1,1,-,2,2,1,-,1
171650 PEDRO AFONSO,3,1,1,1,3,2,-,2,1
171665 PEQUIZEIRO,-,-,-,-,-,-,-,-,1
171670 COLMEIA,-,-,-,-,-,-,-,2,-
171750 PIUM,-,1,-,-,-,-,1,-,-
171780 PONTE ALTA DO BOM JESUS,-,1,-,-,-,-,-,1,-
171790 PONTE ALTA DO TOCANTINS,-,-,-,-,1,-,-,-,-
171820 PORTO NACIONAL,6,3,5,6,6,11,2,3,8
171850 RECURSOLANDIA,-,2,-,-,-,-,-,1,-
171865 RIO DA CONCEICAO,-,-,-,-,-,-,-,-,1
171870 RIO DOS BOIS,-,-,1,-,-,-,-,-,-
171875 RIO SONO,-,-,-,-,-,-,-,-,1
171889 SANTA RITA DO TOCANTINS,-,-,-,1,-,-,-,1,-
171900 SANTA TEREZA DO TOCANTINS,-,-,-,-,1,-,-,-,-
172010 SAO BENTO DO TOCANTINS,-,-,-,-,1,-,-,-,-
172015 SAO FELIX DO TOCANTINS,-,-,-,1,-,-,-,-,-
172020 SAO MIGUEL DO TOCANTINS,-,-,-,-,1,-,-,-,-
172025 SAO SALVADOR DO TOCANTINS,1,1,-,-,-,-,-,-,-
172049 SAO VALERIO,-,-,1,-,-,-,-,-,-
172065 SILVANOPOLIS,-,-,-,1,-,-,-,-,-
172080 SITIO NOVO DO TOCANTINS,-,1,-,1,-,-,-,1,-
172090 TAGUATINGA,-,3,1,3,1,-,-,1,-
172100 PALMAS,124,129,172,141,150,157,129,124,150
172110 TOCANTINIA,-,1,1,1,-,-,2,-,1
172120 TOCANTINOPOLIS,-,3,1,5,4,1,5,1,2
172125 TUPIRAMA,1,1,-,-,-,-,1,-,-
172210 XAMBIOA,2,-,1,1,1,2,2,1,1
210005 ACAILANDIA,6,7,11,11,4,9,4,6,4
210010 AFONSO CUNHA,-,1,1,-,1,-,-,-,-
210015 AGUA DOCE DO MARANHAO,-,-,-,-,-,1,-,-,1
210020 ALCANTARA,3,1,-,1,2,-,1,-,-
210030 ALDEIAS ALTAS,-,3,-,-,-,-,2,-,-
210043 ALTO ALEGRE DO MARANHAO,41,56,57,56,52,47,57,46,47
210047 ALTO ALEGRE DO PINDARE,1,4,3,3,3,2,4,7,2
210050 ALTO PARNAIBA,-,-,2,-,1,1,2,-,1
210055 AMAPA DO MARANHAO,-,1,-,-,-,-,1,-,-
210060 AMARANTE DO MARANHAO,10,7,7,2,4,3,9,7,11
210070 ANAJATUBA,-,-,-,1,1,1,-,-,-
210080 ANAPURUS,-,1,-,-,1,2,1,-,-
210083 APICUM-ACU,2,3,-,2,1,2,-,-,-
210087 ARAGUANA,-,-,2,-,-,-,-,1,1
210090 ARAIOSES,5,1,-,3,2,1,2,1,-
210095 ARAME,3,3,5,4,4,5,7,13,1
210100 ARARI,2,5,1,1,2,3,4,2,-
210110 AXIXA,-,-,-,-,-,-,1,1,-
210120 BACABAL,27,20,20,15,11,10,13,21,9
210125 BACABEIRA,-,-,2,1,1,1,1,2,1
210130 BACURI,-,-,-,-,1,-,-,-,-
210135 BACURITUBA,-,-,1,-,-,-,-,-,-
210140 BALSAS,16,37,24,25,29,41,38,32,40
210150 BARAO DE GRAJAU,1,1,-,-,-,-,-,2,-
210160 BARRA DO CORDA,15,22,26,18,18,24,17,21,15
210170 BARREIRINHAS,12,6,10,13,9,12,12,13,7
210173 BELAGUA,-,1,-,2,1,-,-,-,-
210177 BELA VISTA DO MARANHAO,-,-,-,-,-,1,-,-,-
210180 BENEDITO LEITE,-,-,-,1,-,-,-,-,-
210190 BEQUIMAO,-,-,-,1,1,1,1,-,-
210200 BOM JARDIM,1,1,2,1,4,1,1,2,-
210203 BOM JESUS DAS SELVAS,1,-,2,4,4,-,6,2,1
210210 BREJO,4,4,2,1,2,2,1,-,2
210215 BREJO DE AREIA,-,-,-,-,-,-,-,-,1
210220 BURITI,4,5,-,-,5,1,1,-,1
210230 BURITI BRAVO,1,5,4,3,1,-,2,2,-
210232 BURITICUPU,6,8,10,5,10,9,16,7,8
210235 BURITIRANA,-,-,1,1,-,2,1,2,1
210237 CACHOEIRA GRANDE,2,-,-,-,-,-,-,-,-
210240 CAJAPIO,1,-,-,1,3,1,1,-,-
210250 CAJARI,1,3,2,-,3,1,4,1,1
210255 CAMPESTRE DO MARANHAO,-,-,1,1,-,-,-,-,1
210260 CANDIDO MENDES,1,-,-,2,1,-,1,2,1
210270 CANTANHEDE,1,-,4,-,1,-,3,2,-
210275 CAPINZAL DO NORTE,1,-,-,1,-,1,-,1,2
210280 CAROLINA,1,-,1,1,1,1,1,2,4
210290 CARUTAPERA,9,5,3,2,4,3,8,13,7
210300 CAXIAS,163,133,98,69,64,40,52,49,50
210310 CEDRAL,-,-,-,2,-,1,-,-,-
210312 CENTRAL DO MARANHAO,-,-,-,-,-,1,-,-,1
210315 CENTRO DO GUILHERME,-,-,-,-,-,-,-,-,2
210317 CENTRO NOVO DO MARANHAO,-,-,1,-,1,-,-,-,1
210320 CHAPADINHA,35,21,16,12,14,14,13,7,3
210325 CIDELANDIA,-,-,-,-,-,-,1,-,1
210330 CODO,16,23,21,12,24,14,15,11,12
210340 COELHO NETO,13,12,12,12,7,10,9,10,10
210350 COLINAS,7,3,7,6,4,5,9,16,45
210355 CONCEICAO DO LAGO-ACU,1,-,1,-,-,-,-,1,1
210360 COROATA,55,33,31,31,29,31,28,22,29
210370 CURURUPU,22,20,16,17,16,15,11,8,9
210375 DAVINOPOLIS,-,-,-,1,-,-,-,-,-
210380 DOM PEDRO,-,2,1,-,1,-,1,1,2
