Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
120030 FEIJO,-,10,23,16,9,14,13,5,-,-,-,-,4,94
120032 JORDAO,-,1,3,4,2,-,1,1,-,-,-,-,-,12
120033 MANCIO LIMA,-,-,-,1,1,-,-,-,-,-,-,-,1,3
120034 MANOEL URBANO,-,1,1,1,2,-,-,1,-,-,-,-,5,11
120035 MARECHAL THAUMATURGO,-,2,2,2,1,1,-,-,-,-,-,-,2,10
120038 PLACIDO DE CASTRO,-,1,-,2,-,2,-,-,-,-,-,-,1,6
120039 PORTO WALTER,-,1,7,5,1,1,2,1,-,-,-,-,1,19
120040 RIO BRANCO,-,18,210,197,156,145,93,33,5,-,-,-,44,901
120042 RODRIGUES ALVES,-,-,1,-,1,-,-,-,-,-,-,-,2,4
120043 SANTA ROSA DO PURUS,-,-,3,1,-,1,1,-,-,-,-,-,6,12
120045 SENADOR GUIOMARD,-,-,1,1,2,3,-,-,-,-,-,-,2,9
120050 SENA MADUREIRA,-,1,12,10,7,11,7,1,-,-,-,-,13,62
120060 TARAUACA,-,5,50,25,24,9,11,4,1,-,-,-,4,133
120070 XAPURI,-,-,2,1,1,2,3,-,-,-,-,-,2,11
120080 PORTO ACRE,-,-,2,-,-,-,-,-,-,-,-,-,2,4
130002 ALVARAES,-,2,5,5,2,2,1,-,-,-,-,-,-,17
130006 AMATURA,-,-,6,1,7,5,5,-,-,-,-,-,-,24
130008 ANAMA,-,1,2,1,1,3,2,-,-,-,-,-,1,11
130010 ANORI,-,1,3,7,3,3,-,-,-,-,-,-,3,20
130014 APUI,-,-,3,8,2,8,2,-,-,-,-,-,2,25
130020 ATALAIA DO NORTE,-,1,7,14,9,7,3,1,1,-,-,-,-,43
130030 AUTAZES,-,4,10,25,19,9,7,-,1,-,-,-,12,87
130040 BARCELOS,-,1,10,7,2,4,1,-,-,-,-,-,3,28
130050 BARREIRINHA,-,1,8,17,17,12,7,2,1,-,-,-,1,66
130060 BENJAMIN CONSTANT,-,1,22,18,19,12,7,9,-,-,-,-,4,92
130063 BERURI,-,1,8,7,2,8,3,1,-,-,-,-,-,30
130068 BOA VISTA DO RAMOS,-,-,9,5,3,4,2,3,-,-,-,-,-,26
130070 BOCA DO ACRE,-,1,10,8,7,5,7,-,-,-,-,-,-,38
130080 BORBA,-,3,18,11,10,6,4,2,1,-,-,-,5,60
130083 CAAPIRANGA,-,-,1,2,1,1,1,1,-,-,-,-,-,7
130090 CANUTAMA,-,1,10,6,5,2,3,1,-,-,-,-,1,29
130100 CARAUARI,-,3,29,21,12,13,6,2,1,-,-,-,1,88
130110 CAREIRO,-,-,2,2,2,7,-,-,-,-,-,-,1,14
130115 CAREIRO DA VARZEA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
130120 COARI,-,8,42,40,34,25,22,11,1,-,-,-,3,186
130130 CODAJAS,-,-,11,3,6,2,1,2,-,1,-,-,-,26
130140 EIRUNEPE,-,2,31,26,18,12,11,5,2,1,-,-,2,110
130150 ENVIRA,-,-,10,10,7,4,3,3,-,-,-,-,-,37
130160 FONTE BOA,-,1,8,9,7,9,4,4,-,-,-,-,-,42
130165 GUAJARA,-,-,3,1,-,1,1,-,-,-,-,-,-,6
130170 HUMAITA,-,5,27,22,11,8,8,1,-,-,-,-,-,82
130180 IPIXUNA,-,3,15,11,7,7,3,3,-,-,-,-,2,51
130185 IRANDUBA,-,-,4,2,3,4,1,-,-,-,-,-,-,14
130190 ITACOATIARA,-,3,52,44,50,35,40,11,1,-,-,-,12,248
130195 ITAMARATI,-,-,3,4,6,3,2,1,-,-,-,-,-,19
130200 ITAPIRANGA,-,-,5,5,5,6,2,-,-,-,-,-,-,23
130210 JAPURA,-,-,2,1,2,3,1,-,-,-,-,-,1,10
130220 JURUA,-,-,3,4,1,2,2,-,-,-,-,-,-,12
130230 JUTAI,-,3,15,7,6,2,6,5,-,-,-,-,1,45
130240 LABREA,-,2,30,21,7,6,8,4,1,-,-,-,11,90
130250 MANACAPURU,-,7,40,43,36,35,23,3,1,-,-,-,5,193
130255 MANAQUIRI,-,-,1,3,2,3,1,-,-,-,-,-,-,10
130260 MANAUS,-,60,723,1.043,851,796,604,242,17,2,-,-,168,4.506
130270 MANICORE,-,3,24,26,22,7,11,2,-,-,-,-,3,98
130280 MARAA,-,-,6,2,6,2,2,-,-,-,-,-,1,19
130290 MAUES,-,2,30,36,19,31,16,3,2,-,-,-,-,139
130300 NHAMUNDA,-,-,8,5,5,-,2,-,-,-,-,-,2,22
130310 NOVA OLINDA DO NORTE,-,4,10,10,12,6,6,4,-,-,-,-,3,55
130320 NOVO AIRAO,-,1,4,5,2,1,1,-,-,-,-,-,1,15
130330 NOVO ARIPUANA,-,-,8,6,3,2,-,1,-,-,-,-,-,20
130340 PARINTINS,-,3,69,52,45,34,33,7,1,-,-,-,3,247
130350 PAUINI,-,3,9,8,4,6,4,1,-,-,-,-,-,35
130353 PRESIDENTE FIGUEIREDO,-,1,6,4,3,5,-,-,-,-,-,-,1,20
130356 RIO PRETO DA EVA,-,-,1,1,1,3,1,1,-,-,-,-,1,9
130360 SANTA ISABEL DO RIO NEGRO,-,-,8,4,4,2,5,1,-,-,-,-,-,24
130370 SANTO ANTONIO DO ICA,-,1,17,18,16,9,8,1,-,-,-,-,1,71
130380 SAO GABRIEL DA CACHOEIRA,-,4,47,55,29,38,24,12,3,-,-,-,6,218
130390 SAO PAULO DE OLIVENCA,-,2,21,21,18,10,14,2,3,-,-,-,3,94
130395 SAO SEBASTIAO DO UATUMA,-,-,1,1,2,-,-,-,-,-,-,-,-,4
130400 SILVES,-,-,1,4,1,2,-,-,-,-,-,-,-,8
130406 TABATINGA,-,6,50,44,33,31,26,11,1,-,-,-,17,219
130410 TAPAUA,-,1,8,9,7,10,2,1,-,-,-,-,9,47
130420 TEFE,-,7,57,38,33,31,20,7,-,-,-,-,29,222
130423 TONANTINS,-,1,5,3,6,3,3,3,-,-,-,-,1,25
130426 UARINI,-,2,11,9,6,5,4,1,-,1,-,-,1,40
130430 URUCARA,-,3,8,8,7,5,3,1,-,-,-,-,-,35
130440 URUCURITUBA,-,2,8,1,3,-,2,-,-,-,-,-,3,19
140002 AMAJARI,-,2,6,3,2,2,3,2,-,-,-,-,1,21
140005 ALTO ALEGRE,-,3,3,8,6,1,4,1,-,-,-,-,4,30
140010 BOA VISTA,-,19,181,225,202,158,119,34,5,-,-,-,40,983
140015 BONFIM,-,-,4,1,2,-,1,-,-,-,-,-,-,8
140017 CANTA,-,-,2,1,-,-,-,-,-,-,-,-,1,4
140020 CARACARAI,-,2,5,2,2,1,1,-,-,-,-,-,1,14
140023 CAROEBE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
140028 IRACEMA,-,-,1,-,2,1,-,-,1,-,-,-,1,6
140030 MUCAJAI,-,-,1,4,1,-,-,-,-,-,-,-,-,6
140040 NORMANDIA,-,1,3,5,2,6,1,-,-,-,-,-,2,20
140045 PACARAIMA,-,1,2,3,1,3,1,-,-,-,-,-,1,12
140047 RORAINOPOLIS,-,-,6,8,6,3,1,-,-,-,-,-,2,26
140050 SAO JOAO DA BALIZA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
140070 UIRAMUTA,-,1,5,-,-,-,-,1,-,-,-,-,4,11
150010 ABAETETUBA,-,1,20,32,18,18,9,3,-,-,-,-,17,118
150013 ABEL FIGUEIREDO,-,-,5,-,-,1,-,-,-,-,-,-,-,6
150020 ACARA,-,-,8,1,11,1,3,2,-,-,-,-,2,28
150030 AFUA,-,1,9,5,4,1,2,4,-,-,-,-,2,28
150034 AGUA AZUL DO NORTE,-,-,-,5,3,1,3,-,-,-,-,-,3,15
150040 ALENQUER,-,1,30,37,32,23,24,9,-,-,-,-,6,162
150050 ALMEIRIM,-,1,19,16,15,10,1,3,2,-,-,-,6,73
150060 ALTAMIRA,-,6,66,52,53,43,27,7,-,-,-,-,26,280
150070 ANAJAS,-,1,14,14,10,7,6,3,2,-,-,-,3,60
150080 ANANINDEUA,-,2,45,62,39,35,13,7,1,-,-,-,35,239
150085 ANAPU,-,-,8,12,8,4,2,-,-,-,-,-,5,39
150090 AUGUSTO CORREA,-,-,4,3,4,-,1,2,-,-,-,-,3,17
150095 AURORA DO PARA,-,1,6,2,5,-,3,-,-,-,-,-,1,18
150100 AVEIRO,-,-,4,3,1,1,2,1,-,-,-,-,-,12
150110 BAGRE,-,1,8,6,3,-,1,1,-,-,-,-,7,27
150120 BAIAO,-,2,13,20,5,3,2,1,-,-,-,-,-,46
150130 BARCARENA,-,5,36,43,35,30,8,3,-,-,-,-,9,169
150140 BELEM,-,59,930,1.186,950,765,485,174,10,2,1,-,85,4.647
150145 BELTERRA,-,-,1,2,5,2,-,-,-,-,-,-,-,10
150150 BENEVIDES,-,-,2,-,1,2,-,-,-,-,-,-,2,7
150157 BOM JESUS DO TOCANTINS,-,1,1,1,-,-,-,-,-,-,-,-,-,3
150170 BRAGANCA,-,5,84,85,62,61,49,12,2,-,-,-,34,394
150172 BRASIL NOVO,-,1,5,4,3,1,5,-,-,-,-,-,2,21
150175 BREJO GRANDE DO ARAGUAIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
150178 BREU BRANCO,-,-,4,2,1,-,1,1,-,-,-,-,2,11
150180 BREVES,-,10,83,99,72,53,57,27,4,-,-,-,37,442
150190 BUJARU,-,1,6,2,2,-,-,1,-,-,-,-,-,12
150195 CACHOEIRA DO PIRIA,-,-,2,-,2,1,-,-,-,-,-,-,1,6
150200 CACHOEIRA DO ARARI,-,-,1,9,2,4,-,-,1,-,-,-,1,18
150210 CAMETA,-,5,80,89,48,38,25,15,1,-,-,-,6,307
150215 CANAA DOS CARAJAS,-,-,20,26,13,12,7,3,-,-,-,-,4,85
150220 CAPANEMA,-,2,43,33,26,13,7,3,-,-,-,-,13,140
150230 CAPITAO POCO,-,-,12,9,11,9,4,-,-,-,-,-,1,46
150240 CASTANHAL,-,3,62,85,68,49,30,11,-,-,-,-,17,325
150250 CHAVES,-,-,3,1,1,3,1,-,-,-,-,-,1,10
150270 CONCEICAO DO ARAGUAIA,-,1,25,16,9,7,-,1,1,-,-,-,11,71
150275 CONCORDIA DO PARA,-,-,4,6,2,2,1,1,-,-,-,-,4,20
150276 CUMARU DO NORTE,-,-,3,2,3,1,-,1,-,-,-,-,-,10
150277 CURIONOPOLIS,-,-,6,6,3,4,1,-,-,-,-,-,-,20
150280 CURRALINHO,-,-,10,14,5,4,4,-,1,-,-,-,14,52
150285 CURUA,-,-,3,1,2,2,-,-,-,-,-,-,-,8
150290 CURUCA,-,-,2,1,4,1,1,-,-,-,-,-,1,10
150293 DOM ELISEU,-,-,12,12,14,3,4,2,-,-,-,-,6,53
150295 ELDORADO DOS CARAJAS,-,-,8,5,2,1,5,1,-,-,-,-,1,23
150300 FARO,-,-,2,3,-,2,-,1,1,-,-,-,4,13
150304 FLORESTA DO ARAGUAIA,-,1,5,3,2,2,1,-,-,-,-,-,2,16
150307 GARRAFAO DO NORTE,-,-,2,6,2,-,-,-,-,-,-,-,1,11
150309 GOIANESIA DO PARA,-,-,7,7,2,1,-,3,-,-,-,-,1,21
150310 GURUPA,-,-,10,16,6,9,8,4,-,-,-,-,-,53
150320 IGARAPE-ACU,-,-,5,2,2,1,1,-,-,-,-,-,1,12
150330 IGARAPE-MIRI,-,-,14,13,10,6,3,-,-,-,-,-,7,53
150340 INHANGAPI,-,-,-,-,1,-,-,-,-,-,-,-,2,3
150345 IPIXUNA DO PARA,-,-,4,4,1,2,-,2,-,-,-,-,4,17
150350 IRITUIA,-,1,2,2,3,1,-,-,-,-,-,-,1,10
150360 ITAITUBA,-,3,51,59,55,27,11,7,1,-,-,-,10,224
150370 ITUPIRANGA,-,3,16,15,12,8,5,1,-,1,-,-,12,73
150375 JACAREACANGA,-,5,19,22,20,13,6,3,1,-,-,-,4,93
150380 JACUNDA,-,1,12,10,9,10,3,2,-,-,-,-,6,53
150390 JURUTI,-,-,25,24,25,19,16,7,-,-,-,-,1,117
150400 LIMOEIRO DO AJURU,-,-,1,1,2,-,-,-,-,-,-,-,4,8
150405 MAE DO RIO,-,1,11,11,5,-,4,-,-,-,-,-,9,41
150420 MARABA,-,19,127,141,123,90,63,24,1,-,-,-,18,606
150430 MARACANA,-,-,-,-,2,1,-,-,-,-,-,-,3,6
150440 MARAPANIM,-,1,-,2,-,-,-,-,-,-,-,-,2,5
150442 MARITUBA,-,-,11,10,8,7,4,-,-,-,-,-,15,55
150445 MEDICILANDIA,-,-,7,9,5,2,2,-,-,-,-,-,4,29
150450 MELGACO,-,1,6,3,5,2,2,3,-,-,-,-,2,24
150460 MOCAJUBA,-,-,9,14,7,7,1,1,-,-,-,-,3,42
150470 MOJU,-,-,7,11,7,4,1,2,2,-,-,-,-,34
150475 MOJUI DOS CAMPOS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
150480 MONTE ALEGRE,-,-,26,24,16,10,10,5,-,-,-,-,5,96
150490 MUANA,-,-,9,17,10,7,4,1,-,-,-,-,-,48
150495 NOVA ESPERANCA DO PIRIA,-,1,4,2,3,-,-,1,-,-,-,-,1,12
150497 NOVA IPIXUNA,-,-,1,-,1,-,-,-,-,-,-,-,1,3
150500 NOVA TIMBOTEUA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
150503 NOVO PROGRESSO,-,2,19,14,18,17,6,1,-,-,-,-,2,79
150506 NOVO REPARTIMENTO,-,6,38,22,20,18,5,1,-,-,-,-,-,110
150510 OBIDOS,-,3,21,26,22,19,15,10,-,-,-,-,2,118
150520 OEIRAS DO PARA,-,2,18,23,16,7,2,3,2,-,-,-,1,74
150530 ORIXIMINA,-,7,31,56,28,27,18,12,-,-,-,-,2,181
150540 OUREM,-,-,3,2,-,2,-,-,-,-,-,-,5,12
150543 OURILANDIA DO NORTE,-,3,10,18,18,14,8,4,-,-,-,-,15,90
150548 PACAJA,-,2,16,10,10,6,1,1,-,-,-,-,5,51
150549 PALESTINA DO PARA,-,-,2,-,-,1,-,-,-,-,-,-,-,3
150550 PARAGOMINAS,-,4,32,43,38,31,15,4,1,-,-,-,11,179
150553 PARAUAPEBAS,-,2,80,95,84,70,33,8,-,-,-,-,41,413
150555 PAU D'ARCO,-,-,-,1,1,-,-,-,-,-,-,-,1,3
150563 PICARRA,-,-,2,-,2,2,-,-,-,-,-,-,1,7
150565 PLACAS,-,2,7,4,4,2,-,2,-,-,-,-,-,21
150570 PONTA DE PEDRAS,-,-,4,5,3,-,-,1,-,-,-,-,2,15
150580 PORTEL,-,4,36,42,37,21,23,13,2,-,-,-,2,180
150590 PORTO DE MOZ,-,-,22,17,13,1,1,2,-,-,-,-,15,71
150600 PRAINHA,-,-,15,11,13,5,7,3,-,-,-,-,1,55
150613 REDENCAO,-,3,56,47,34,42,13,5,-,-,-,-,44,244
150616 RIO MARIA,-,-,8,7,2,1,1,-,-,-,-,-,-,19
150618 RONDON DO PARA,-,-,16,17,10,8,5,2,-,-,-,-,5,63
150619 RUROPOLIS,-,1,9,9,8,3,3,-,-,-,-,-,4,37
150620 SALINOPOLIS,-,-,19,18,14,8,1,1,-,-,-,-,2,63
150630 SALVATERRA,-,-,4,4,4,4,2,1,1,-,-,-,13,33
150640 SANTA CRUZ DO ARARI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
150650 SANTA IZABEL DO PARA,-,2,5,9,17,4,3,2,-,-,-,-,5,47
150655 SANTA LUZIA DO PARA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
150658 SANTA MARIA DAS BARREIRAS,-,-,2,-,1,-,-,-,-,-,-,-,-,3
150660 SANTA MARIA DO PARA,-,-,1,-,2,-,-,-,-,-,-,-,1,4
150670 SANTANA DO ARAGUAIA,-,-,22,17,12,12,4,-,-,-,-,-,1,68
150680 SANTAREM,-,9,172,226,187,158,121,56,2,-,-,-,28,959
150690 SANTAREM NOVO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
150700 SANTO ANTONIO DO TAUA,-,1,3,10,3,4,-,-,1,-,-,-,-,22
150710 SAO CAETANO DE ODIVELAS,-,-,1,-,-,-,-,-,-,-,-,-,1,2
150715 SAO DOMINGOS DO ARAGUAIA,-,2,2,4,2,2,1,-,-,-,-,-,-,13
150720 SAO DOMINGOS DO CAPIM,-,-,4,5,1,-,-,-,-,-,-,-,-,10
150730 SAO FELIX DO XINGU,-,2,12,21,13,6,5,1,-,-,-,-,2,62
150745 SAO GERALDO DO ARAGUAIA,-,1,7,9,6,-,-,-,-,-,-,-,3,26
150747 SAO JOAO DE PIRABAS,-,-,4,2,-,1,1,1,-,-,-,-,-,9
150750 SAO JOAO DO ARAGUAIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
150760 SAO MIGUEL DO GUAMA,-,-,8,6,2,2,2,-,-,-,-,-,2,22
150770 SAO SEBASTIAO DA BOA VISTA,-,-,8,9,5,6,2,-,-,-,-,-,2,32
150775 SAPUCAIA,-,-,1,1,-,1,-,-,-,-,-,-,1,4
150780 SENADOR JOSE PORFIRIO,-,1,6,2,2,3,-,1,-,-,-,-,-,15
150790 SOURE,-,-,11,11,2,2,1,-,-,-,-,-,9,36
150795 TAILANDIA,-,3,31,34,27,15,13,4,-,-,-,-,20,147
150796 TERRA ALTA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
150797 TERRA SANTA,-,-,8,10,3,5,5,1,-,-,-,-,5,37
150800 TOME-ACU,-,4,25,24,16,8,8,6,-,-,-,-,13,104
150803 TRACUATEUA,-,-,1,-,-,1,-,-,-,-,-,-,-,2
150805 TRAIRAO,-,-,5,4,4,3,-,1,-,-,-,-,1,18
150808 TUCUMA,-,-,27,24,14,15,2,1,-,-,-,-,11,94
150810 TUCURUI,-,11,71,125,61,44,35,9,3,-,-,-,13,372
150812 ULIANOPOLIS,-,2,11,8,6,5,1,-,-,-,-,-,-,33
150815 URUARA,-,-,10,23,19,9,7,-,-,-,-,-,13,81
150820 VIGIA,-,1,6,9,4,3,3,-,-,-,-,-,3,29
150830 VISEU,-,-,9,7,10,3,2,3,-,-,-,-,10,44
150835 VITORIA DO XINGU,-,-,2,3,7,2,-,-,-,-,-,-,3,17
150840 XINGUARA,-,2,19,23,21,19,7,-,-,-,-,-,5,96
160005 SERRA DO NAVIO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
160010 AMAPA,-,2,1,-,5,1,3,-,-,-,-,-,1,13
160015 PEDRA BRANCA DO AMAPARI,-,-,-,2,-,3,2,-,-,-,-,-,5,12
160020 CALCOENE,-,1,3,-,-,-,-,-,-,-,-,-,4,8
160021 CUTIAS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
160023 FERREIRA GOMES,-,-,-,1,-,1,-,-,-,-,-,-,2,4
160027 LARANJAL DO JARI,-,2,22,32,15,14,14,3,-,-,-,-,6,108
160030 MACAPA,1,22,233,292,252,220,168,61,6,-,-,-,160,1.415
160040 MAZAGAO,-,-,-,1,-,1,1,-,-,-,-,-,4,7
160050 OIAPOQUE,-,2,21,17,15,15,11,5,-,-,-,-,9,95
160053 PORTO GRANDE,-,-,2,4,1,3,2,-,-,-,-,-,1,13
160055 PRACUUBA,-,-,-,3,1,1,-,-,-,-,-,-,-,5
160060 SANTANA,-,5,57,57,53,42,23,17,4,-,-,-,24,282
160070 TARTARUGALZINHO,-,-,-,-,1,1,-,-,-,-,-,-,2,4
160080 VITORIA DO JARI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
170025 ABREULANDIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
170030 AGUIARNOPOLIS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
170040 ALMAS,-,-,1,-,-,1,-,-,-,-,-,-,-,2
170070 ALVORADA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170100 ANANAS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170110 APARECIDA DO RIO NEGRO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
170190 ARAGUACEMA,-,-,2,-,-,-,-,-,-,-,-,-,1,3
170200 ARAGUACU,-,-,1,-,-,1,-,1,-,-,-,-,-,3
170210 ARAGUAINA,-,10,131,171,112,92,65,23,-,-,-,-,2,606
170220 ARAGUATINS,-,-,1,1,2,1,4,-,-,-,-,-,5,14
170230 ARAPOEMA,-,-,3,2,-,-,1,-,-,-,-,-,1,7
170240 ARRAIAS,-,-,4,6,5,5,-,2,-,-,-,-,1,23
170255 AUGUSTINOPOLIS,-,2,23,26,17,18,7,7,1,-,-,-,30,131
170290 AXIXA DO TOCANTINS,-,-,1,-,-,1,-,-,-,-,-,-,1,3
170307 BARRA DO OURO,-,-,-,-,-,1,-,-,-,-,-,-,1,2
170330 BOM JESUS DO TOCANTINS,-,-,1,1,-,-,-,-,-,-,-,-,-,2
170370 BREJINHO DE NAZARE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
170380 BURITI DO TOCANTINS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
170382 CACHOEIRINHA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170384 CAMPOS LINDOS,-,-,-,1,-,-,-,-,-,-,-,-,1,2
170388 CARMOLANDIA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
170389 CARRASCO BONITO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
170390 CASEARA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170410 CENTENARIO,-,-,-,1,-,1,-,-,-,-,-,-,-,2
170510 CHAPADA DA NATIVIDADE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170550 COLINAS DO TOCANTINS,-,-,2,5,4,3,2,-,-,-,-,-,4,20
170560 CONCEICAO DO TOCANTINS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
170610 CRISTALANDIA,-,-,2,1,-,-,-,-,-,-,-,-,-,3
170650 DARCINOPOLIS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
170700 DIANOPOLIS,-,2,4,7,1,5,3,1,1,-,-,-,5,29
170710 DIVINOPOLIS DO TOCANTINS,-,-,-,2,-,-,-,-,-,-,-,-,-,2
170740 ESPERANTINA,-,-,3,2,1,-,2,-,-,-,-,-,-,8
170770 FILADELFIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
170820 FORMOSO DO ARAGUAIA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170830 GOIANORTE,-,-,-,1,-,-,-,-,-,-,-,-,1,2
170900 GOIATINS,-,-,3,1,1,2,1,-,-,-,-,-,2,10
170930 GUARAI,-,1,10,14,16,9,2,1,-,-,-,-,3,56
170950 GURUPI,-,3,33,39,35,25,30,5,1,-,-,-,46,217
171050 ITACAJA,-,1,3,1,-,1,1,-,-,-,-,-,-,7
171070 ITAGUATINS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
171090 ITAPIRATINS,-,1,-,-,-,-,-,-,-,-,-,-,1,2
171150 JAU DO TOCANTINS,-,-,-,1,1,-,-,-,-,-,-,-,-,2
171190 LAGOA DA CONFUSAO,-,-,1,2,-,1,-,1,-,-,-,-,2,7
171195 LAGOA DO TOCANTINS,-,-,-,-,-,-,-,2,-,-,-,-,-,2
171240 LIZARDA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
171270 MATEIROS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
171320 MIRACEMA DO TOCANTINS,-,2,11,15,4,11,2,1,1,-,-,-,-,47
