Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
130080 BORBA,-,15,8,11,7,14,1,4,60
130083 CAAPIRANGA,-,2,-,3,-,1,-,1,7
130090 CANUTAMA,-,2,3,6,5,11,1,1,29
130100 CARAUARI,1,9,9,16,14,26,9,4,88
130110 CAREIRO,1,2,1,1,1,5,3,-,14
130115 CAREIRO DA VARZEA,-,-,-,1,-,-,-,-,1
130120 COARI,5,39,30,48,30,30,4,-,186
130130 CODAJAS,-,6,3,3,5,8,1,-,26
130140 EIRUNEPE,2,13,14,24,10,24,3,20,110
130150 ENVIRA,2,5,3,13,8,4,2,-,37
130160 FONTE BOA,5,1,7,12,8,7,2,-,42
130165 GUAJARA,-,1,1,1,1,1,-,1,6
130170 HUMAITA,-,21,8,27,12,10,3,1,82
130180 IPIXUNA,1,2,4,8,7,17,2,10,51
130185 IRANDUBA,-,2,-,5,1,4,-,2,14
130190 ITACOATIARA,6,50,40,61,25,38,22,6,248
130195 ITAMARATI,-,-,-,7,4,4,-,4,19
130200 ITAPIRANGA,1,2,6,5,5,3,-,1,23
130210 JAPURA,-,2,2,1,1,3,-,1,10
130220 JURUA,-,2,1,3,4,1,-,1,12
130230 JUTAI,1,6,5,10,11,5,3,4,45
130240 LABREA,2,11,9,21,9,24,1,13,90
130250 MANACAPURU,3,35,23,51,29,30,10,12,193
130255 MANAQUIRI,-,1,-,3,2,2,1,1,10
130260 MANAUS,80,1.132,706,1.163,491,621,204,109,4.506
130270 MANICORE,-,16,11,29,12,17,1,12,98
130280 MARAA,1,1,1,5,5,4,1,1,19
130290 MAUES,5,27,12,34,25,25,9,2,139
130300 NHAMUNDA,2,5,-,3,3,8,-,1,22
130310 NOVA OLINDA DO NORTE,-,12,4,13,12,10,3,1,55
130320 NOVO AIRAO,-,5,1,4,-,5,-,-,15
130330 NOVO ARIPUANA,-,1,-,8,4,6,1,-,20
130340 PARINTINS,1,64,53,69,23,29,3,5,247
130350 PAUINI,1,5,5,10,7,6,-,1,35
130353 PRESIDENTE FIGUEIREDO,2,3,3,2,5,4,-,1,20
130356 RIO PRETO DA EVA,-,4,1,-,-,3,-,1,9
130360 SANTA ISABEL DO RIO NEGRO,-,2,1,6,4,3,1,7,24
130370 SANTO ANTONIO DO ICA,2,9,8,17,11,21,1,2,71
130380 SAO GABRIEL DA CACHOEIRA,1,29,16,42,15,40,4,71,218
130390 SAO PAULO DE OLIVENCA,-,17,5,20,13,24,2,13,94
130395 SAO SEBASTIAO DO UATUMA,1,-,-,-,-,1,1,1,4
130400 SILVES,-,1,1,1,2,2,1,-,8
130406 TABATINGA,1,39,30,44,24,33,7,41,219
130410 TAPAUA,1,2,2,12,4,13,3,10,47
130420 TEFE,4,47,36,59,22,35,7,12,222
130423 TONANTINS,-,1,1,4,9,6,-,4,25
130426 UARINI,1,5,3,12,8,5,4,2,40
130430 URUCARA,2,6,5,8,3,8,2,1,35
130440 URUCURITUBA,-,5,1,4,3,6,-,-,19
140002 AMAJARI,-,-,2,1,2,-,-,16,21
140005 ALTO ALEGRE,-,1,2,1,1,-,1,24,30
140010 BOA VISTA,41,238,136,246,130,153,19,20,983
140015 BONFIM,-,-,3,1,2,-,-,2,8
140017 CANTA,-,1,-,1,1,-,-,1,4
140020 CARACARAI,-,1,1,1,-,-,-,11,14
140023 CAROEBE,-,1,-,-,-,-,-,-,1
140028 IRACEMA,-,-,-,-,1,-,-,5,6
140030 MUCAJAI,-,-,-,-,1,1,-,4,6
140040 NORMANDIA,-,3,-,3,4,2,-,8,20
140045 PACARAIMA,-,2,-,2,1,2,3,2,12
140047 RORAINOPOLIS,1,3,3,8,3,5,1,2,26
140050 SAO JOAO DA BALIZA,-,1,-,-,-,-,-,-,1
140070 UIRAMUTA,-,4,-,3,1,1,-,2,11
150010 ABAETETUBA,7,29,17,28,13,15,1,8,118
150013 ABEL FIGUEIREDO,-,-,1,2,1,2,-,-,6
150020 ACARA,1,2,4,3,3,9,1,5,28
150030 AFUA,1,3,1,5,4,11,-,3,28
150034 AGUA AZUL DO NORTE,-,5,-,1,2,4,-,3,15
150040 ALENQUER,5,31,23,37,25,28,7,6,162
150050 ALMEIRIM,1,12,11,17,9,12,2,9,73
150060 ALTAMIRA,10,61,40,69,26,44,10,20,280
150070 ANAJAS,1,4,5,6,8,20,5,11,60
150080 ANANINDEUA,8,47,19,43,45,36,12,29,239
150085 ANAPU,-,5,5,12,3,10,-,4,39
150090 AUGUSTO CORREA,-,2,5,4,1,1,1,3,17
150095 AURORA DO PARA,-,2,2,5,-,6,2,1,18
150100 AVEIRO,1,2,1,1,3,3,-,1,12
150110 BAGRE,2,3,5,2,2,5,-,8,27
150120 BAIAO,2,9,4,10,8,12,-,1,46
150130 BARCARENA,12,37,24,46,14,20,5,11,169
150140 BELEM,248,1.120,822,1.277,465,446,128,141,4.647
150145 BELTERRA,1,2,2,3,1,1,-,-,10
150150 BENEVIDES,-,2,1,2,-,-,-,2,7
150157 BOM JESUS DO TOCANTINS,-,-,1,2,-,-,-,-,3
150170 BRAGANCA,4,63,43,102,56,65,36,25,394
150172 BRASIL NOVO,-,5,3,6,2,2,2,1,21
150175 BREJO GRANDE DO ARAGUAIA,-,-,-,-,-,1,-,-,1
150178 BREU BRANCO,1,3,1,2,-,2,1,1,11
150180 BREVES,7,64,46,114,66,101,19,25,442
150190 BUJARU,-,2,-,2,2,5,-,1,12
150195 CACHOEIRA DO PIRIA,-,-,-,-,1,1,-,4,6
150200 CACHOEIRA DO ARARI,1,2,2,3,1,6,1,2,18
150210 CAMETA,2,55,30,97,50,53,13,7,307
150215 CANAA DOS CARAJAS,3,13,9,25,12,11,5,7,85
150220 CAPANEMA,7,19,5,19,21,30,11,28,140
150230 CAPITAO POCO,1,8,-,5,8,19,4,1,46
150240 CASTANHAL,12,74,43,70,40,62,16,8,325
150250 CHAVES,-,-,-,2,1,1,2,4,10
150270 CONCEICAO DO ARAGUAIA,1,11,8,19,7,11,1,13,71
150275 CONCORDIA DO PARA,1,5,-,1,3,3,4,3,20
150276 CUMARU DO NORTE,-,3,2,2,1,1,-,1,10
150277 CURIONOPOLIS,1,6,2,5,-,5,1,-,20
150280 CURRALINHO,-,4,4,11,9,12,1,11,52
150285 CURUA,-,-,1,-,-,2,2,3,8
150290 CURUCA,-,-,4,3,2,1,-,-,10
150293 DOM ELISEU,3,4,6,8,6,12,3,11,53
150295 ELDORADO DOS CARAJAS,-,3,1,5,3,6,-,5,23
150300 FARO,1,-,1,5,2,1,-,3,13
150304 FLORESTA DO ARAGUAIA,2,1,3,3,2,3,1,1,16
150307 GARRAFAO DO NORTE,-,1,-,3,-,2,2,3,11
150309 GOIANESIA DO PARA,-,3,3,9,2,3,1,-,21
150310 GURUPA,-,7,6,16,10,13,-,1,53
150320 IGARAPE-ACU,-,6,1,3,-,1,-,1,12
150330 IGARAPE-MIRI,5,12,5,9,6,10,1,5,53
150340 INHANGAPI,-,-,-,-,1,1,-,1,3
150345 IPIXUNA DO PARA,1,2,1,3,-,3,1,6,17
150350 IRITUIA,-,1,2,1,1,2,1,2,10
150360 ITAITUBA,5,43,41,56,24,42,3,10,224
150370 ITUPIRANGA,5,12,8,15,12,15,4,2,73
150375 JACAREACANGA,2,13,6,20,20,19,4,9,93
150380 JACUNDA,1,6,10,10,7,10,4,5,53
150390 JURUTI,2,16,23,29,19,13,6,9,117
150400 LIMOEIRO DO AJURU,-,1,1,2,1,1,-,2,8
150405 MAE DO RIO,-,8,4,11,5,4,2,7,41
150420 MARABA,12,157,109,139,67,73,18,31,606
150430 MARACANA,-,-,-,1,1,-,1,3,6
150440 MARAPANIM,1,-,-,1,-,1,-,2,5
150442 MARITUBA,1,5,6,17,12,4,2,8,55
150445 MEDICILANDIA,1,4,2,6,4,5,2,5,29
150450 MELGACO,1,5,1,3,4,5,1,4,24
150460 MOCAJUBA,1,2,4,9,6,15,-,5,42
150470 MOJU,3,4,1,9,5,10,2,-,34
150475 MOJUI DOS CAMPOS,-,-,-,1,-,-,-,-,1
150480 MONTE ALEGRE,1,14,8,37,15,16,1,4,96
150490 MUANA,3,5,3,16,7,12,1,1,48
150495 NOVA ESPERANCA DO PIRIA,-,1,-,2,2,3,-,4,12
150497 NOVA IPIXUNA,-,2,-,1,-,-,-,-,3
150500 NOVA TIMBOTEUA,-,-,-,1,-,-,-,-,1
150503 NOVO PROGRESSO,-,15,17,20,5,18,4,-,79
150506 NOVO REPARTIMENTO,7,20,15,28,16,19,4,1,110
150510 OBIDOS,6,26,8,34,12,18,9,5,118
150520 OEIRAS DO PARA,3,9,6,15,14,22,3,2,74
150530 ORIXIMINA,24,37,20,47,21,21,3,8,181
150540 OUREM,1,1,1,4,-,-,2,3,12
150543 OURILANDIA DO NORTE,-,15,6,20,10,16,3,20,90
150548 PACAJA,5,5,9,10,13,5,-,4,51
150549 PALESTINA DO PARA,-,1,-,-,-,2,-,-,3
150550 PARAGOMINAS,2,41,15,43,26,31,4,17,179
150553 PARAUAPEBAS,6,103,57,98,46,49,17,37,413
150555 PAU D'ARCO,-,-,-,-,1,2,-,-,3
150563 PICARRA,1,1,2,3,-,-,-,-,7
150565 PLACAS,3,7,1,6,3,-,-,1,21
150570 PONTA DE PEDRAS,-,4,-,4,1,3,-,3,15
150580 PORTEL,5,14,24,36,30,53,8,10,180
150590 PORTO DE MOZ,2,4,7,17,14,15,2,10,71
150600 PRAINHA,4,11,7,11,6,15,-,1,55
150613 REDENCAO,11,50,44,66,26,26,6,15,244
150616 RIO MARIA,1,2,6,5,2,2,-,1,19
150618 RONDON DO PARA,1,4,10,21,9,9,5,4,63
150619 RUROPOLIS,-,6,5,7,2,8,2,7,37
150620 SALINOPOLIS,-,11,4,15,6,19,4,4,63
150630 SALVATERRA,1,3,2,6,1,7,-,13,33
150640 SANTA CRUZ DO ARARI,-,1,-,-,-,-,-,-,1
150650 SANTA IZABEL DO PARA,14,9,4,6,2,5,1,6,47
150655 SANTA LUZIA DO PARA,-,-,-,-,1,-,-,-,1
150658 SANTA MARIA DAS BARREIRAS,-,-,-,-,-,2,-,1,3
150660 SANTA MARIA DO PARA,-,-,-,-,2,1,-,1,4
150670 SANTANA DO ARAGUAIA,2,18,4,14,13,9,8,-,68
150680 SANTAREM,5,201,183,239,104,153,28,46,959
150690 SANTAREM NOVO,-,-,-,-,1,-,-,-,1
150700 SANTO ANTONIO DO TAUA,3,1,3,5,1,4,2,3,22
150710 SAO CAETANO DE ODIVELAS,-,-,-,1,-,-,-,1,2
150715 SAO DOMINGOS DO ARAGUAIA,-,1,1,4,2,3,2,-,13
150720 SAO DOMINGOS DO CAPIM,-,1,2,3,2,1,1,-,10
150730 SAO FELIX DO XINGU,2,6,9,21,4,15,3,2,62
150745 SAO GERALDO DO ARAGUAIA,1,3,2,11,5,4,-,-,26
150747 SAO JOAO DE PIRABAS,1,3,-,1,2,-,-,2,9
150750 SAO JOAO DO ARAGUAIA,-,-,-,-,-,-,-,1,1
150760 SAO MIGUEL DO GUAMA,1,6,-,10,1,-,-,4,22
150770 SAO SEBASTIAO DA BOA VISTA,3,4,-,4,6,13,2,-,32
150775 SAPUCAIA,-,1,-,1,-,1,-,1,4
150780 SENADOR JOSE PORFIRIO,2,1,3,3,2,3,-,1,15
150790 SOURE,2,10,3,9,3,6,2,1,36
150795 TAILANDIA,4,23,27,45,15,21,3,9,147
150796 TERRA ALTA,-,-,-,1,-,-,-,-,1
150797 TERRA SANTA,-,5,2,11,9,6,-,4,37
150800 TOME-ACU,5,14,13,21,14,13,4,20,104
150803 TRACUATEUA,1,-,-,-,-,-,-,1,2
150805 TRAIRAO,-,2,2,8,3,1,1,1,18
150808 TUCUMA,6,23,10,17,12,15,3,8,94
150810 TUCURUI,23,81,52,100,47,48,11,10,372
150812 ULIANOPOLIS,1,5,6,8,6,7,-,-,33
150815 URUARA,2,15,9,23,9,11,3,9,81
150820 VIGIA,1,10,1,6,2,4,2,3,29
150830 VISEU,2,4,2,3,3,11,3,16,44
150835 VITORIA DO XINGU,-,2,2,6,-,4,2,1,17
150840 XINGUARA,4,20,15,21,15,11,3,7,96
160005 SERRA DO NAVIO,1,-,-,-,-,-,-,-,1
160010 AMAPA,1,-,1,1,4,2,-,4,13
160015 PEDRA BRANCA DO AMAPARI,-,2,-,2,2,1,-,5,12
160020 CALCOENE,1,1,-,2,-,-,-,4,8
160021 CUTIAS,-,-,-,-,-,1,-,-,1
160023 FERREIRA GOMES,1,-,-,-,-,2,-,1,4
160027 LARANJAL DO JARI,1,20,14,28,16,21,3,5,108
160030 MACAPA,21,307,197,389,160,188,43,110,1.415
160040 MAZAGAO,-,2,-,-,-,1,-,4,7
160050 OIAPOQUE,1,16,8,17,18,21,10,4,95
160053 PORTO GRANDE,1,-,2,1,2,4,-,3,13
160055 PRACUUBA,-,1,-,-,-,2,2,-,5
160060 SANTANA,2,50,32,79,41,40,16,22,282
160070 TARTARUGALZINHO,-,1,-,-,1,1,-,1,4
160080 VITORIA DO JARI,-,-,1,-,-,-,-,-,1
170025 ABREULANDIA,-,-,-,1,-,-,-,-,1
170030 AGUIARNOPOLIS,-,-,-,1,-,-,-,-,1
170040 ALMAS,-,-,-,-,-,2,-,-,2
170070 ALVORADA,-,-,-,-,-,-,-,1,1
170100 ANANAS,-,-,-,-,-,1,-,-,1
170110 APARECIDA DO RIO NEGRO,-,-,-,-,1,-,-,-,1
170190 ARAGUACEMA,-,-,-,2,1,-,-,-,3
170200 ARAGUACU,-,-,-,2,-,-,-,1,3
170210 ARAGUAINA,2,158,109,180,73,67,13,4,606
170220 ARAGUATINS,-,1,2,4,-,2,-,5,14
170230 ARAPOEMA,-,3,-,1,-,2,1,-,7
170240 ARRAIAS,2,6,2,3,4,6,-,-,23
170255 AUGUSTINOPOLIS,5,23,13,39,19,18,4,10,131
170290 AXIXA DO TOCANTINS,-,1,-,1,-,1,-,-,3
170307 BARRA DO OURO,-,-,-,-,-,1,-,1,2
170330 BOM JESUS DO TOCANTINS,1,-,-,1,-,-,-,-,2
170370 BREJINHO DE NAZARE,-,1,-,-,-,-,-,-,1
170380 BURITI DO TOCANTINS,-,-,-,-,1,-,-,-,1
170382 CACHOEIRINHA,-,-,-,-,-,-,1,-,1
170384 CAMPOS LINDOS,-,-,-,1,1,-,-,-,2
170388 CARMOLANDIA,-,1,-,-,-,-,-,-,1
170389 CARRASCO BONITO,-,-,1,-,-,-,-,-,1
170390 CASEARA,-,-,1,-,-,-,-,-,1
170410 CENTENARIO,-,1,-,-,-,1,-,-,2
170510 CHAPADA DA NATIVIDADE,-,1,-,-,-,-,-,-,1
170550 COLINAS DO TOCANTINS,-,9,1,2,2,4,1,1,20
170560 CONCEICAO DO TOCANTINS,-,-,1,-,-,-,-,-,1
170610 CRISTALANDIA,-,-,-,2,-,1,-,-,3
170650 DARCINOPOLIS,-,-,-,1,-,-,-,-,1
170700 DIANOPOLIS,1,10,3,7,2,2,-,4,29
170710 DIVINOPOLIS DO TOCANTINS,-,2,-,-,-,-,-,-,2
170740 ESPERANTINA,-,-,-,1,2,2,1,2,8
170770 FILADELFIA,-,1,-,-,-,-,-,-,1
170820 FORMOSO DO ARAGUAIA,-,1,-,-,-,-,-,-,1
170830 GOIANORTE,-,-,-,-,1,-,-,1,2
170900 GOIATINS,-,1,-,2,2,2,1,2,10
170930 GUARAI,2,10,8,13,11,9,-,3,56
170950 GURUPI,10,40,33,56,29,32,8,9,217
171050 ITACAJA,-,2,-,2,1,1,-,1,7
171070 ITAGUATINS,-,-,-,1,-,-,-,-,1
171090 ITAPIRATINS,-,1,-,-,-,1,-,-,2
171150 JAU DO TOCANTINS,-,2,-,-,-,-,-,-,2
171190 LAGOA DA CONFUSAO,1,1,1,3,-,-,-,1,7
171195 LAGOA DO TOCANTINS,-,2,-,-,-,-,-,-,2
171240 LIZARDA,-,-,-,1,-,-,-,-,1
171270 MATEIROS,-,-,-,1,-,-,-,-,1
171320 MIRACEMA DO TOCANTINS,3,8,5,8,9,10,3,1,47
171330 MIRANORTE,-,1,-,-,-,2,-,-,3
171360 MONTE DO CARMO,-,-,-,-,-,1,-,-,1
171420 NATIVIDADE,-,-,-,-,1,-,-,1,2
171430 NAZARE,-,1,-,-,-,-,-,-,1
171488 NOVA OLINDA,-,-,-,-,-,-,-,1,1
171510 NOVO ACORDO,-,-,1,-,-,-,-,-,1
171570 PALMEIRANTE,-,1,-,-,-,-,-,-,1
171610 PARAISO DO TOCANTINS,5,20,13,25,19,16,3,7,108
171620 PARANA,-,-,2,2,-,2,1,2,9
171650 PEDRO AFONSO,5,2,2,4,4,5,2,4,28
171660 PEIXE,-,-,1,-,-,-,-,-,1
171665 PEQUIZEIRO,-,1,-,-,1,-,-,-,2
171670 COLMEIA,-,-,-,-,-,1,-,-,1
171700 PINDORAMA DO TOCANTINS,-,1,-,-,-,-,-,-,1
171750 PIUM,-,-,-,-,-,1,-,-,1
171820 PORTO NACIONAL,2,36,23,27,11,27,4,3,133
171850 RECURSOLANDIA,-,-,-,1,-,-,-,1,2
171880 SAMPAIO,-,1,1,-,-,1,-,-,3
171886 SANTA FE DO ARAGUAIA,-,1,-,-,-,-,-,-,1
171890 SANTA ROSA DO TOCANTINS,-,-,1,-,-,-,-,-,1
171900 SANTA TEREZA DO TOCANTINS,1,-,-,-,-,-,-,-,1
172000 SANTA TEREZINHA DO TOCANTINS,-,-,-,-,-,1,-,-,1
172010 SAO BENTO DO TOCANTINS,-,-,-,1,-,-,-,-,1
172015 SAO FELIX DO TOCANTINS,1,-,-,-,-,-,-,-,1
172025 SAO SALVADOR DO TOCANTINS,-,1,1,-,-,-,-,-,2
172030 SAO SEBASTIAO DO TOCANTINS,-,-,-,3,-,-,-,-,3
172090 TAGUATINGA,-,3,1,-,1,3,-,2,10
172100 PALMAS,165,182,107,186,68,58,12,14,792
172110 TOCANTINIA,1,-,-,-,1,-,-,-,2
172120 TOCANTINOPOLIS,1,7,4,3,3,7,-,4,29
172210 XAMBIOA,-,3,1,3,-,1,1,2,11
210005 ACAILANDIA,7,38,28,46,25,37,4,3,188
210010 AFONSO CUNHA,-,1,-,1,1,1,-,1,5
210015 AGUA DOCE DO MARANHAO,-,-,1,1,-,-,-,-,2
210020 ALCANTARA,-,1,2,-,1,1,1,4,10
210030 ALDEIAS ALTAS,-,-,-,2,2,1,-,-,5
210043 ALTO ALEGRE DO MARANHAO,4,78,76,173,70,75,17,26,519
210047 ALTO ALEGRE DO PINDARE,2,6,4,9,9,11,3,7,51
210050 ALTO PARNAIBA,-,2,-,1,2,7,1,2,15
210055 AMAPA DO MARANHAO,-,-,-,-,-,-,-,1,1
210060 AMARANTE DO MARANHAO,2,9,7,19,16,31,4,5,93
210070 ANAJATUBA,1,3,1,4,2,4,-,5,20
210080 ANAPURUS,1,2,3,2,3,6,1,5,23
210083 APICUM-ACU,-,2,-,1,-,2,-,1,6
210087 ARAGUANA,-,-,-,1,-,-,-,-,1
210090 ARAIOSES,1,2,1,1,3,4,1,4,17
210095 ARAME,-,2,9,10,14,28,5,4,72
210100 ARARI,1,1,2,4,2,7,1,1,19
210110 AXIXA,-,-,-,1,-,2,2,1,6
210120 BACABAL,2,48,43,80,34,39,11,14,271
210125 BACABEIRA,-,1,-,2,2,-,-,2,7
210140 BALSAS,11,56,43,99,23,61,6,9,308
210150 BARAO DE GRAJAU,-,-,1,-,-,1,-,-,2
210160 BARRA DO CORDA,2,28,34,78,42,50,10,16,260
210170 BARREIRINHAS,1,35,32,68,30,50,16,6,238
210173 BELAGUA,-,-,1,-,-,-,1,-,2
210177 BELA VISTA DO MARANHAO,-,-,-,1,-,-,-,-,1
210190 BEQUIMAO,-,2,2,-,-,2,-,1,7
210200 BOM JARDIM,-,3,3,10,2,8,-,8,34
210203 BOM JESUS DAS SELVAS,1,1,1,6,1,2,1,2,15
210210 BREJO,1,6,2,10,8,10,3,4,44
210215 BREJO DE AREIA,-,-,1,-,1,-,-,1,3
210220 BURITI,-,8,2,4,4,6,2,4,30
210230 BURITI BRAVO,-,-,2,2,4,4,-,1,13
210232 BURITICUPU,3,16,17,18,21,40,8,8,131
210237 CACHOEIRA GRANDE,-,-,-,-,-,-,-,1,1
210240 CAJAPIO,-,1,1,2,3,-,1,2,10
210250 CAJARI,-,-,-,1,1,1,-,4,7
210255 CAMPESTRE DO MARANHAO,-,-,1,-,-,-,-,-,1
210260 CANDIDO MENDES,-,2,-,1,-,3,1,1,8
210270 CANTANHEDE,1,1,-,1,2,3,-,2,10
210275 CAPINZAL DO NORTE,-,-,-,1,-,-,-,-,1
210280 CAROLINA,-,3,-,2,-,4,-,-,9
210290 CARUTAPERA,3,5,3,20,15,17,3,13,79
210300 CAXIAS,3,109,91,146,61,88,22,17,537
210310 CEDRAL,-,-,-,-,1,2,-,-,3
210312 CENTRAL DO MARANHAO,-,-,-,1,-,2,-,-,3
210315 CENTRO DO GUILHERME,-,-,1,-,-,-,-,-,1
210317 CENTRO NOVO DO MARANHAO,-,-,-,-,-,-,-,1,1
210320 CHAPADINHA,1,80,59,106,59,74,22,12,413
210325 CIDELANDIA,-,1,-,-,-,-,-,1,2
210330 CODO,4,43,45,76,36,44,8,8,264
210340 COELHO NETO,2,19,15,47,30,42,5,2,162
210350 COLINAS,1,18,11,52,27,30,7,8,154
210355 CONCEICAO DO LAGO-ACU,-,-,-,-,-,-,-,1,1
210360 COROATA,1,28,23,33,20,23,5,20,153
210370 CURURUPU,1,21,16,40,26,38,16,12,170
210375 DAVINOPOLIS,-,-,-,-,1,-,-,-,1
210380 DOM PEDRO,-,1,3,-,4,3,1,1,13
210390 DUQUE BACELAR,-,1,-,-,-,-,-,2,3
210400 ESPERANTINOPOLIS,-,-,3,3,2,6,3,7,24
210405 ESTREITO,1,1,2,5,4,7,1,11,32
210407 FEIRA NOVA DO MARANHAO,-,1,-,1,-,1,-,-,3
210408 FERNANDO FALCAO,-,1,1,1,1,2,-,2,8
210409 FORMOSA DA SERRA NEGRA,1,2,1,1,1,4,1,-,11
210410 FORTALEZA DOS NOGUEIRAS,-,-,1,2,1,4,-,2,10
210420 FORTUNA,-,-,-,-,-,4,-,2,6
210430 GODOFREDO VIANA,-,-,-,-,-,1,-,1,2
210440 GONCALVES DIAS,1,-,2,3,1,3,1,3,14
210460 GOVERNADOR EUGENIO BARROS,1,3,4,1,2,4,1,3,19
210462 GOVERNADOR LUIZ ROCHA,-,-,-,-,-,1,-,-,1
210465 GOVERNADOR NEWTON BELLO,-,-,-,1,-,-,-,1,2
210467 GOVERNADOR NUNES FREIRE,1,14,20,41,19,50,15,13,173
210470 GRACA ARANHA,-,-,1,-,-,-,-,-,1
210480 GRAJAU,1,23,22,66,36,62,11,17,238
210490 GUIMARAES,-,-,1,1,-,4,-,-,6
210500 HUMBERTO DE CAMPOS,-,5,4,5,3,6,1,2,26
