CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
3006522,HOSPITAL MOINHOS DE VENTO,PORTO ALEGRE,27,0,RIO GRANDE DO SUL
2237253,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,PORTO ALEGRE,20,15,RIO GRANDE DO SUL
2522101,HOSPITAL SANTA CATARINA,BLUMENAU,5,0,SANTA CATARINA
2558254,HOSPITAL SANTO ANTONIO,BLUMENAU,10,10,SANTA CATARINA
2521431,CENTRO HOSPITALAR UNIMED,JOINVILLE,9,0,SANTA CATARINA
2491710,HOSPITAL NOSSA SENHORA DA CONCEICAO,TUBARAO,8,7,SANTA CATARINA
0002232,HOSPITAL SANTA ISABEL,ARACAJU,30,30,SERGIPE
4099206,MATERNIDADE MUNICIPAL MARIA DE LOURDES SANTANA NOGUEIRA,ARACAJU,10,0,SERGIPE
5714397,MATERNIDADE NOSSA SENHORA DE LOURDES,ARACAJU,34,34,SERGIPE
3038130,HOSPITAL UNIMED AMERICANA,AMERICANA,7,0,SAO PAULO
2081253,HOSPITAL SAO LUIZ DE ARARAS,ARARAS,4,4,SAO PAULO
2092611,SANTA CASA DE BARRETOS,BARRETOS,8,8,SAO PAULO
2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,BOTUCATU,17,17,SAO PAULO
2079798,HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,CAMPINAS,15,15,SAO PAULO
4135059,HOSPITAL SAO LUIZ CAMPINAS,CAMPINAS,12,0,SAO PAULO
2089327,HOSPITAL PADRE ALBINO CATANDUVA,CATANDUVA,10,9,SAO PAULO
2080753,HOSPITAL E MATERNIDADE SAO JOAQUIM,FRANCA,2,0,SAO PAULO
3028399,HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO,FRANCISCO MORATO,11,11,SAO PAULO
7894260,HOSPITAL GUARUJA,GUARUJA,5,0,SAO PAULO
2992094,NOVO HOSPITAL ROD UNIMED SALTO ITU COOPERATIVA MEDICA,ITU,7,0,SAO PAULO
2078066,INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO,JUNDIAI,4,0,SAO PAULO
2090961,HOSPITAL CARLOS FERNANDO MALZONI MATAO,MATAO,7,5,SAO PAULO
2087057,HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA,PIRACICABA,7,6,SAO PAULO
2772310,SANTA CASA DE PIRACICABA,PIRACICABA,12,8,SAO PAULO
2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,RIBEIRAO PRETO,20,20,SAO PAULO
2081164,HOSPITAL SANTA LYDIA RIBEIRAO PRETO,RIBEIRAO PRETO,9,6,SAO PAULO
2084414,SANTA CASA DE RIBEIRAO PRETO,RIBEIRAO PRETO,10,10,SAO PAULO
6998704,COMPLEXO HOSPITALAR DOS ESTIVADORES,SANTOS,4,4,SAO PAULO
2025752,SANTA CASA DE SANTOS,SANTOS,10,0,SAO PAULO
2027356,HOSPITAL DA MULHER,SAO BERNARDO DO CAMPO,20,20,SAO PAULO
9738754,HOSPITAL E MATERNIDADE NOTRECARE ABC,SAO BERNARDO DO CAMPO,10,0,SAO PAULO
2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,16,16,SAO PAULO
6988938,HOSPITAL VIVALLE,SAO JOSE DOS CAMPOS,10,0,SAO PAULO
2077574,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,SAO PAULO,10,10,SAO PAULO
2078015,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,SAO PAULO,40,40,SAO PAULO
2071568,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,SAO PAULO,3,3,SAO PAULO
2058502,HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,SAO PAULO,4,0,SAO PAULO
9554157,HOSPITAL E MATERNIDADE SALVALUS,SAO PAULO,10,0,SAO PAULO
9488227,HOSPITAL E MATERNIDADE SANTA MARIA,SAO PAULO,16,0,SAO PAULO
2066092,HOSPITAL GERAL DE PEDREIRA,SAO PAULO,12,12,SAO PAULO
2088517,HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO,SAO PAULO,6,6,SAO PAULO
2071371,HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO,SAO PAULO,5,5,SAO PAULO
2058391,HOSPITAL ISRAELITA ALBERT EINSTEIN,SAO PAULO,22,0,SAO PAULO
2080818,HOSPITAL SAMARITANO,SAO PAULO,10,0,SAO PAULO
2077477,HOSPITAL SANTA MARCELINA SAO PAULO,SAO PAULO,9,9,SAO PAULO
2077485,HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO,SAO PAULO,17,17,SAO PAULO
2076926,HOSPITAL UNIVERSITARIO DA USP SAO PAULO,SAO PAULO,6,6,SAO PAULO
2688689,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,SAO PAULO,15,15,SAO PAULO
2081695,CONJUNTO HOSPITALAR SOROCABA,SOROCABA,18,10,SAO PAULO
2083981,HOSPITAL ESTADUAL SUMARE,SUMARE,12,12,SAO PAULO
6106056,HOSPITAL E MATERNIDADE POLICLIN TAUBATE,TAUBATE,6,0,SAO PAULO
