CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
2273454,MS INCA HOSPITAL DO CANCER I,RIO DE JANEIRO,6,6,RIO DE JANEIRO
2269783,UERJ HOSPITAL UNIV PEDRO ERNESTO,RIO DE JANEIRO,6,6,RIO DE JANEIRO
2296616,UFRJ IPPMG INST DE PUER PED MARTAGAO GESTEIRA,RIO DE JANEIRO,6,6,RIO DE JANEIRO
7251491,UNIMED RIO HOSPITAL BARRA DA TIJUCA,RIO DE JANEIRO,6,0,RIO DE JANEIRO
3508528,HOSPITAL UNIVERSITARIO DE CANOAS,CANOAS,10,10,RIO GRANDE DO SUL
9728317,HOSPITAL UNIMED UNIDADE MATERNO INFANTIL,CAXIAS DO SUL,9,0,RIO GRANDE DO SUL
2237601,HOSPITAL DE CLINICAS,PORTO ALEGRE,13,13,RIO GRANDE DO SUL
3006522,HOSPITAL MOINHOS DE VENTO,PORTO ALEGRE,10,1,RIO GRANDE DO SUL
2778718,HPS,PORTO ALEGRE,8,8,RIO GRANDE DO SUL
2237849,INSTITUTO DE CARDIOLOGIA,PORTO ALEGRE,14,9,RIO GRANDE DO SUL
2237253,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,PORTO ALEGRE,40,24,RIO GRANDE DO SUL
2522101,HOSPITAL SANTA CATARINA,BLUMENAU,5,0,SANTA CATARINA
2521431,CENTRO HOSPITALAR UNIMED,JOINVILLE,4,0,SANTA CATARINA
9671145,HOSPITAL UNIMED,SAO JOSE,10,0,SANTA CATARINA
2491710,HOSPITAL NOSSA SENHORA DA CONCEICAO,TUBARAO,4,3,SANTA CATARINA
3225798,HOSPITAL DO CORACAO,ARACAJU,3,3,SERGIPE
2081253,HOSPITAL SAO LUIZ DE ARARAS,ARARAS,3,3,SAO PAULO
2090236,FUNDACAO PIO XII BARRETOS,BARRETOS,6,6,SAO PAULO
2092611,SANTA CASA DE BARRETOS,BARRETOS,8,2,SAO PAULO
2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,BOTUCATU,7,7,SAO PAULO
2081482,BOLDRINI CAMPINAS,CAMPINAS,10,8,SAO PAULO
2079666,CENTRO MEDICO DE CAMPINAS,CAMPINAS,8,0,SAO PAULO
2079798,HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,CAMPINAS,22,10,SAO PAULO
2081490,HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS,CAMPINAS,8,4,SAO PAULO
4135059,HOSPITAL SAO LUIZ CAMPINAS,CAMPINAS,8,0,SAO PAULO
2080753,HOSPITAL E MATERNIDADE SAO JOAQUIM,FRANCA,5,0,SAO PAULO
2992094,NOVO HOSPITAL ROD UNIMED SALTO ITU COOPERATIVA MEDICA,ITU,3,0,SAO PAULO
2716801,HOSPITAL DA CRIANCA GRENDACC,JUNDIAI,4,3,SAO PAULO
2078066,INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO,JUNDIAI,1,0,SAO PAULO
2090961,HOSPITAL CARLOS FERNANDO MALZONI MATAO,MATAO,3,2,SAO PAULO
2087057,HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA,PIRACICABA,3,2,SAO PAULO
2772310,SANTA CASA DE PIRACICABA,PIRACICABA,7,4,SAO PAULO
4123077,IGESP SA CENTRO MEDICO E CIRURGICO INST GASTROENT DE SP,PRAIA GRANDE,2,0,SAO PAULO
2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,RIBEIRAO PRETO,16,16,SAO PAULO
2081164,HOSPITAL SANTA LYDIA RIBEIRAO PRETO,RIBEIRAO PRETO,5,4,SAO PAULO
2025752,SANTA CASA DE SANTOS,SANTOS,10,10,SAO PAULO
9738754,HOSPITAL E MATERNIDADE NOTRECARE ABC,SAO BERNARDO DO CAMPO,10,0,SAO PAULO
9768688,HOSPITAL NOVA NEOMATER,SAO BERNARDO DO CAMPO,10,0,SAO PAULO
2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,39,20,SAO PAULO
5869412,HOSPITAL GACC VALE DO PARAIBA,SAO JOSE DOS CAMPOS,5,4,SAO PAULO
2077531,A C CAMARGO CANCER CENTER,SAO PAULO,10,6,SAO PAULO
2077574,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,SAO PAULO,8,8,SAO PAULO
2078015,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,SAO PAULO,53,51,SAO PAULO
2071568,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,SAO PAULO,23,23,SAO PAULO
7711980,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO,SAO PAULO,9,0,SAO PAULO
2080575,HOSPITAL BP,SAO PAULO,48,15,SAO PAULO
2088576,HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI,SAO PAULO,5,5,SAO PAULO
9554157,HOSPITAL E MATERNIDADE SALVALUS,SAO PAULO,8,0,SAO PAULO
2066092,HOSPITAL GERAL DE PEDREIRA,SAO PAULO,6,6,SAO PAULO
2089696,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP,SAO PAULO,10,8,SAO PAULO
2071371,HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO,SAO PAULO,9,9,SAO PAULO
6614426,HOSPITAL INFANTIL SABARA,SAO PAULO,55,0,SAO PAULO
2058391,HOSPITAL ISRAELITA ALBERT EINSTEIN,SAO PAULO,18,0,SAO PAULO
2080818,HOSPITAL SAMARITANO,SAO PAULO,13,0,SAO PAULO
2077477,HOSPITAL SANTA MARCELINA SAO PAULO,SAO PAULO,10,10,SAO PAULO
2688565,HOSPITAL SAO CAMILO POMPEIA,SAO PAULO,17,0,SAO PAULO
2077485,HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO,SAO PAULO,19,19,SAO PAULO
2076926,HOSPITAL UNIVERSITARIO DA USP SAO PAULO,SAO PAULO,10,10,SAO PAULO
2088495,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,SAO PAULO,9,8,SAO PAULO
2688689,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,SAO PAULO,12,12,SAO PAULO
2081695,CONJUNTO HOSPITALAR SOROCABA,SOROCABA,10,7,SAO PAULO
